Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2025,SDG-43191,03/28/2023,Con Ed,Port Chester,Westchester,10573,CENY-W,Harrison,65U1,Battery,Sunrun Inc,NM,5,POINT (-73.66595 41.00142)
12/31/2025,PAM-2020-84929,05/04/2021,PSEGLI,Mastic,Suffolk,11950,,2957,2237,Battery,Sunrun_ Inc.,NM,10,POINT (-72.84055 40.80339)
12/31/2025,PAM-2021-92697,04/21/2021,PSEGLI,SYOSSET,Nassau,11791,,866,1859,Battery,tesla,NM,10,POINT (-73.49544 40.82746)
12/31/2025,PAM-2020-85049,03/01/2021,PSEGLI,East Meadow,Nassau,11554,,810,8350,Battery,TESLA,NM,15,POINT (-73.5446 40.71448)
12/31/2025,SDG-71681,11/13/2024,Con Ed,Yonkers,Westchester,10703,CENY-W,Granite Hill,hastings-2,Battery,Sunrun Inc,NM,5,POINT (-73.88459 40.96051)
12/31/2025,SDG-45117,09/27/2022,Con Ed,Scarsdale,Westchester,10583,CENY-W,White Plains,84U3,Battery,Tesla,NM,25,POINT (-73.79681 40.98824)
12/31/2025,20304,11/09/2022,NYSEG,Jay,Essex,12941,Plattsburgh,NYS-STICKNEY BRIDGE 210,1502701,Battery,"PlugPV, LLC",NM,5.8,POINT (-73.72894 44.37411)
12/31/2025,SDG-25597,10/06/2020,Con Ed,Mohegan Lake,Westchester,10547,CENY-W,Buchanan,14U2,Battery,Tesla,NM,10,POINT (-73.85939 41.31819)
12/31/2025,PAM-2020-83423,04/20/2021,PSEGLI,Montauk,Suffolk,11954,,95,2946,Battery,Green Logic,NM,10,POINT (-71.95373 41.03121)
12/31/2025,DGINT-14658,05/09/2024,O&R,NEW CITY,Rockland,10956,EAST,Congers,22-2-13,Battery,SolarCity,NM,15.2,POINT (-74.0104 41.14829)
12/31/2025,PAM-2017-46217,09/04/2018,PSEGLI,ARVERNE,Queens,11692,,1031,2629,Battery,,NM,18,POINT (-73.78911 40.59388)
12/31/2025,CH-15835,08/19/2022,Central Hudson,Cold Spring,Putnam,10516,Fishkill,Merritt Park,8063,Battery,"Tesla Energy Operations, Inc",NM,15.2,POINT (-73.95745 41.41837)
12/31/2025,SDG-29677,12/28/2022,Con Ed,Pelham,Westchester,10803,CENY-W,Washington Street,105U3,Battery,SolarCity,NM,5,POINT (-73.80955 40.91158)
12/31/2025,PAM-2021-113873,06/09/2022,PSEGLI,JERICHO,Nassau,11753,,403,7789,Battery,Venture Solar,NM,10,POINT (-73.53813 40.791)
